scenario,is_conflict,number_of_conflicts,places_of_conflicts,conflict_vehicles,decisions,priority_order,waiting_times
"{""vehicles_scenario"": [{""vehicle_id"": ""V4830"", ""lane"": ""2"", ""speed"": 73.29214120255166, ""distance_to_intersection"": 238.7275981981159, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V6834"", ""lane"": ""7"", ""speed"": 73.91900077355254, ""distance_to_intersection"": 146.32556067054784, ""direction"": ""west"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V4830': None, 'V6834': None}","{'V4830': 0, 'V6834': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8994"", ""lane"": ""1"", ""speed"": 75.62193634651565, ""distance_to_intersection"": 227.89521952082748, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V6595"", ""lane"": ""3"", ""speed"": 37.97212518608832, ""distance_to_intersection"": 390.891383355743, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V3865"", ""lane"": ""5"", ""speed"": 67.49878947804095, ""distance_to_intersection"": 458.4265323338983, ""direction"": ""south"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V8994': None, 'V6595': None, 'V3865': None}","{'V8994': 0, 'V6595': 0, 'V3865': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7564"", ""lane"": ""3"", ""speed"": 56.73170566103442, ""distance_to_intersection"": 57.02138198198013, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V8100"", ""lane"": ""5"", ""speed"": 38.70566863925492, ""distance_to_intersection"": 239.31427972545362, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V4502"", ""lane"": ""7"", ""speed"": 69.07784178918422, ""distance_to_intersection"": 384.02726015474326, ""direction"": ""west"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V7564': None, 'V8100': None, 'V4502': None}","{'V7564': 0, 'V8100': 0, 'V4502': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8486"", ""lane"": ""6"", ""speed"": 65.17568558874453, ""distance_to_intersection"": 71.93760829889918, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V2890"", ""lane"": ""5"", ""speed"": 20.388570734610436, ""distance_to_intersection"": 385.374411938437, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V1659"", ""lane"": ""3"", ""speed"": 47.09066385746349, ""distance_to_intersection"": 128.08621035932953, ""direction"": ""east"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V8486': None, 'V2890': None, 'V1659': None}","{'V8486': 0, 'V2890': 0, 'V1659': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8594"", ""lane"": ""5"", ""speed"": 23.715558783567353, ""distance_to_intersection"": 419.157871218472, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V2773"", ""lane"": ""6"", ""speed"": 68.6764130881119, ""distance_to_intersection"": 189.148041425191, ""direction"": ""south"", ""destination"": ""G""}]}",no,0,[],[],[],"{'V8594': None, 'V2773': None}","{'V8594': 0, 'V2773': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3613"", ""lane"": ""5"", ""speed"": 37.50477415993242, ""distance_to_intersection"": 459.5349238552321, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V9431"", ""lane"": ""7"", ""speed"": 64.60372409783412, ""distance_to_intersection"": 104.23714775628972, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V1789"", ""lane"": ""6"", ""speed"": 59.215952367900265, ""distance_to_intersection"": 359.16471631089325, ""direction"": ""south"", ""destination"": ""G""}]}",no,0,[],[],[],"{'V3613': None, 'V9431': None, 'V1789': None}","{'V3613': 0, 'V9431': 0, 'V1789': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8001"", ""lane"": ""6"", ""speed"": 41.7616280596804, ""distance_to_intersection"": 358.74319685137766, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V5336"", ""lane"": ""7"", ""speed"": 73.32637092272283, ""distance_to_intersection"": 471.10815567136325, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V5348"", ""lane"": ""8"", ""speed"": 38.28193470874477, ""distance_to_intersection"": 455.4641346294164, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V5863"", ""lane"": ""6"", ""speed"": 36.95208580330792, ""distance_to_intersection"": 451.8930725958765, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V4557"", ""lane"": ""8"", ""speed"": 73.91344988886567, ""distance_to_intersection"": 425.9438635739757, ""direction"": ""west"", ""destination"": ""C""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V5348', 'vehicle2_id': 'V5863'}]",['Potential conflict: Vehicle V5863 must yield to Vehicle V5348'],"{'V5348': 1, 'V5863': 2, 'V8001': None, 'V5336': None, 'V4557': None}","{'V5348': 0, 'V5863': 1, 'V8001': 0, 'V5336': 0, 'V4557': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3661"", ""lane"": ""3"", ""speed"": 36.591254964666824, ""distance_to_intersection"": 65.96555691075653, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V6556"", ""lane"": ""2"", ""speed"": 60.709696676744656, ""distance_to_intersection"": 486.8480881844675, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V6745"", ""lane"": ""2"", ""speed"": 74.90263108291808, ""distance_to_intersection"": 139.1098216883641, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V6458"", ""lane"": ""7"", ""speed"": 24.278372162835026, ""distance_to_intersection"": 371.15515840233587, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V9740"", ""lane"": ""7"", ""speed"": 61.194746760697264, ""distance_to_intersection"": 246.51631831397137, ""direction"": ""west"", ""destination"": ""D""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V3661', 'vehicle2_id': 'V6745'}]",['Potential conflict: Vehicle V6745 must yield to Vehicle V3661'],"{'V3661': 1, 'V6745': 2, 'V6556': None, 'V6458': None, 'V9740': None}","{'V3661': 0, 'V6745': 2, 'V6556': 0, 'V6458': 0, 'V9740': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4215"", ""lane"": ""7"", ""speed"": 60.98387814057562, ""distance_to_intersection"": 108.25802271293055, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V6377"", ""lane"": ""2"", ""speed"": 51.23984660520955, ""distance_to_intersection"": 466.48207064546284, ""direction"": ""north"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V4215': None, 'V6377': None}","{'V4215': 0, 'V6377': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8366"", ""lane"": ""1"", ""speed"": 39.18227793924474, ""distance_to_intersection"": 436.4597770947189, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V8876"", ""lane"": ""1"", ""speed"": 45.722658290249626, ""distance_to_intersection"": 305.5607031177741, ""direction"": ""north"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V8366': None, 'V8876': None}","{'V8366': 0, 'V8876': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4182"", ""lane"": ""2"", ""speed"": 45.21480711207806, ""distance_to_intersection"": 256.6273653236809, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V7479"", ""lane"": ""7"", ""speed"": 74.21266870146681, ""distance_to_intersection"": 213.94549486368842, ""direction"": ""west"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V4182': None, 'V7479': None}","{'V4182': 0, 'V7479': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9758"", ""lane"": ""5"", ""speed"": 20.29735276441109, ""distance_to_intersection"": 343.06649336031836, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V6641"", ""lane"": ""3"", ""speed"": 70.9666035832369, ""distance_to_intersection"": 206.2198322607768, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V7404"", ""lane"": ""3"", ""speed"": 70.7615474071089, ""distance_to_intersection"": 340.6142747052357, ""direction"": ""east"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V9758': None, 'V6641': None, 'V7404': None}","{'V9758': 0, 'V6641': 0, 'V7404': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9053"", ""lane"": ""8"", ""speed"": 57.2335269990059, ""distance_to_intersection"": 383.5456002793738, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V4917"", ""lane"": ""5"", ""speed"": 23.271638763113362, ""distance_to_intersection"": 490.97953370372096, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V2102"", ""lane"": ""5"", ""speed"": 54.94876121317665, ""distance_to_intersection"": 92.70099160952755, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V7437"", ""lane"": ""2"", ""speed"": 57.687967963888745, ""distance_to_intersection"": 353.70557230017755, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V8208"", ""lane"": ""5"", ""speed"": 34.38147252258063, ""distance_to_intersection"": 372.5525086948316, ""direction"": ""south"", ""destination"": ""B""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9053', 'vehicle2_id': 'V7437'}]",['Potential conflict: Vehicle V9053 must yield to Vehicle V7437'],"{'V7437': 1, 'V9053': 2, 'V4917': None, 'V2102': None, 'V8208': None}","{'V7437': 0, 'V9053': 0, 'V4917': 0, 'V2102': 0, 'V8208': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4900"", ""lane"": ""2"", ""speed"": 42.14192083264592, ""distance_to_intersection"": 496.15181018492086, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V5988"", ""lane"": ""2"", ""speed"": 37.780692582771415, ""distance_to_intersection"": 232.92783329518946, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V1062"", ""lane"": ""5"", ""speed"": 41.94230134353741, ""distance_to_intersection"": 458.45741692370314, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V8283"", ""lane"": ""3"", ""speed"": 29.704357865772486, ""distance_to_intersection"": 496.6728107587806, ""direction"": ""east"", ""destination"": ""B""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V4900', 'vehicle2_id': 'V1062'}]",['Potential conflict: Vehicle V4900 must yield to Vehicle V1062'],"{'V1062': 1, 'V4900': 2, 'V5988': None, 'V8283': None}","{'V1062': 0, 'V4900': 0, 'V5988': 0, 'V8283': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8922"", ""lane"": ""1"", ""speed"": 42.06508430826376, ""distance_to_intersection"": 487.4581507965372, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V5693"", ""lane"": ""1"", ""speed"": 50.448313954158294, ""distance_to_intersection"": 375.9427432263283, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V5612"", ""lane"": ""7"", ""speed"": 46.2543831197859, ""distance_to_intersection"": 453.78482502966216, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V7672"", ""lane"": ""3"", ""speed"": 65.3109775388296, ""distance_to_intersection"": 327.8606887988949, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V8916"", ""lane"": ""3"", ""speed"": 32.82675272195564, ""distance_to_intersection"": 148.07231474900001, ""direction"": ""east"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V8922': None, 'V5693': None, 'V5612': None, 'V7672': None, 'V8916': None}","{'V8922': 0, 'V5693': 0, 'V5612': 0, 'V7672': 0, 'V8916': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6338"", ""lane"": ""1"", ""speed"": 34.071685021209326, ""distance_to_intersection"": 227.0730661136376, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V4401"", ""lane"": ""1"", ""speed"": 60.73297568511325, ""distance_to_intersection"": 271.54252917191155, ""direction"": ""north"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V6338': None, 'V4401': None}","{'V6338': 0, 'V4401': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9484"", ""lane"": ""1"", ""speed"": 63.16274253462386, ""distance_to_intersection"": 140.38117941387264, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V1820"", ""lane"": ""8"", ""speed"": 46.682166132565015, ""distance_to_intersection"": 287.2416629638051, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V3564"", ""lane"": ""1"", ""speed"": 70.94549291601498, ""distance_to_intersection"": 215.505845641184, ""direction"": ""north"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V9484': None, 'V1820': None, 'V3564': None}","{'V9484': 0, 'V1820': 0, 'V3564': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6847"", ""lane"": ""3"", ""speed"": 40.44445535017383, ""distance_to_intersection"": 148.12475114100724, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V2862"", ""lane"": ""7"", ""speed"": 51.97684188545786, ""distance_to_intersection"": 286.2846355398533, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V4658"", ""lane"": ""3"", ""speed"": 45.92424701568037, ""distance_to_intersection"": 341.3025047590317, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V9419"", ""lane"": ""4"", ""speed"": 79.57684538480024, ""distance_to_intersection"": 266.6254361385279, ""direction"": ""east"", ""destination"": ""G""}, {""vehicle_id"": ""V3652"", ""lane"": ""6"", ""speed"": 51.94973700769391, ""distance_to_intersection"": 124.38481467453802, ""direction"": ""south"", ""destination"": ""G""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9419', 'vehicle2_id': 'V3652'}]",['Potential conflict: Vehicle V9419 must yield to Vehicle V3652'],"{'V3652': 1, 'V9419': 2, 'V6847': None, 'V2862': None, 'V4658': None}","{'V3652': 0, 'V9419': 0, 'V6847': 0, 'V2862': 0, 'V4658': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1323"", ""lane"": ""4"", ""speed"": 33.23726670965989, ""distance_to_intersection"": 148.01817672243783, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V3800"", ""lane"": ""8"", ""speed"": 34.123348791079906, ""distance_to_intersection"": 104.01270984442841, ""direction"": ""west"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V1323': None, 'V3800': None}","{'V1323': 0, 'V3800': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6447"", ""lane"": ""5"", ""speed"": 47.79212043127035, ""distance_to_intersection"": 74.61914186041778, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V7834"", ""lane"": ""8"", ""speed"": 45.754099993988106, ""distance_to_intersection"": 325.50744183074903, ""direction"": ""west"", ""destination"": ""A""}, {""vehicle_id"": ""V7340"", ""lane"": ""4"", ""speed"": 37.45372167315196, ""distance_to_intersection"": 304.81828920268794, ""direction"": ""east"", ""destination"": ""E""}, {""vehicle_id"": ""V3331"", ""lane"": ""1"", ""speed"": 56.237957852538585, ""distance_to_intersection"": 235.6174585054847, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V1255"", ""lane"": ""3"", ""speed"": 72.12837062832085, ""distance_to_intersection"": 126.97110470869546, ""direction"": ""east"", ""destination"": ""H""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V6447', 'vehicle2_id': 'V1255'}]",['Potential conflict: Vehicle V1255 must yield to Vehicle V6447'],"{'V6447': 1, 'V1255': 2, 'V7834': None, 'V7340': None, 'V3331': None}","{'V6447': 0, 'V1255': 2, 'V7834': 0, 'V7340': 0, 'V3331': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4855"", ""lane"": ""3"", ""speed"": 33.23892238064625, ""distance_to_intersection"": 388.7849854943724, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V6898"", ""lane"": ""7"", ""speed"": 27.342786754074933, ""distance_to_intersection"": 407.68921999282065, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V4898"", ""lane"": ""6"", ""speed"": 33.48115375189729, ""distance_to_intersection"": 242.96781993498098, ""direction"": ""south"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V4855': None, 'V6898': None, 'V4898': None}","{'V4855': 0, 'V6898': 0, 'V4898': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1509"", ""lane"": ""4"", ""speed"": 31.568533113446932, ""distance_to_intersection"": 70.13551492486326, ""direction"": ""east"", ""destination"": ""E""}, {""vehicle_id"": ""V2139"", ""lane"": ""4"", ""speed"": 52.201203858270375, ""distance_to_intersection"": 361.9468982863568, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V5857"", ""lane"": ""7"", ""speed"": 63.12578529131556, ""distance_to_intersection"": 324.00341356176153, ""direction"": ""west"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V1509': None, 'V2139': None, 'V5857': None}","{'V1509': 0, 'V2139': 0, 'V5857': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4592"", ""lane"": ""3"", ""speed"": 74.2327844997885, ""distance_to_intersection"": 87.70070605748745, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V9714"", ""lane"": ""6"", ""speed"": 41.55621091144774, ""distance_to_intersection"": 133.5646664119464, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V6533"", ""lane"": ""2"", ""speed"": 53.095363703470575, ""distance_to_intersection"": 165.8892221952317, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V5914"", ""lane"": ""7"", ""speed"": 21.063793760174477, ""distance_to_intersection"": 156.28066785101277, ""direction"": ""west"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V4592': None, 'V9714': None, 'V6533': None, 'V5914': None}","{'V4592': 0, 'V9714': 0, 'V6533': 0, 'V5914': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8556"", ""lane"": ""2"", ""speed"": 38.47749299337323, ""distance_to_intersection"": 211.92383628924784, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V9850"", ""lane"": ""6"", ""speed"": 37.980006081388986, ""distance_to_intersection"": 344.9964819618836, ""direction"": ""south"", ""destination"": ""G""}]}",no,0,[],[],[],"{'V8556': None, 'V9850': None}","{'V8556': 0, 'V9850': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7412"", ""lane"": ""7"", ""speed"": 46.74611599291754, ""distance_to_intersection"": 183.1732516329525, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V4322"", ""lane"": ""4"", ""speed"": 47.8689814777468, ""distance_to_intersection"": 227.9220205294368, ""direction"": ""east"", ""destination"": ""G""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V7412', 'vehicle2_id': 'V4322'}]",['Potential conflict: Vehicle V4322 must yield to Vehicle V7412'],"{'V7412': 1, 'V4322': 2}","{'V7412': 0, 'V4322': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5056"", ""lane"": ""1"", ""speed"": 38.44718208395338, ""distance_to_intersection"": 128.67595627445291, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V5899"", ""lane"": ""2"", ""speed"": 73.93951052049252, ""distance_to_intersection"": 411.4415882648868, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V1821"", ""lane"": ""5"", ""speed"": 40.536630972181534, ""distance_to_intersection"": 374.63633607252825, ""direction"": ""south"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V5056': None, 'V5899': None, 'V1821': None}","{'V5056': 0, 'V5899': 0, 'V1821': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4711"", ""lane"": ""6"", ""speed"": 25.404751742320343, ""distance_to_intersection"": 410.68971883021015, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V1437"", ""lane"": ""1"", ""speed"": 21.91513702343009, ""distance_to_intersection"": 293.9624593902226, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V5720"", ""lane"": ""3"", ""speed"": 57.76523912188702, ""distance_to_intersection"": 268.91139623170034, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V9341"", ""lane"": ""2"", ""speed"": 29.61627977780321, ""distance_to_intersection"": 302.3181557498667, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V7023"", ""lane"": ""2"", ""speed"": 56.87372615318068, ""distance_to_intersection"": 84.04366508331452, ""direction"": ""north"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V4711': None, 'V1437': None, 'V5720': None, 'V9341': None, 'V7023': None}","{'V4711': 0, 'V1437': 0, 'V5720': 0, 'V9341': 0, 'V7023': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5487"", ""lane"": ""5"", ""speed"": 29.587535042087303, ""distance_to_intersection"": 448.8402977527644, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V3652"", ""lane"": ""2"", ""speed"": 36.25141158791978, ""distance_to_intersection"": 65.95113164501008, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V7793"", ""lane"": ""3"", ""speed"": 43.680199274609684, ""distance_to_intersection"": 258.64864998501037, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V2801"", ""lane"": ""6"", ""speed"": 71.9569674087083, ""distance_to_intersection"": 165.03450818485422, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V2177"", ""lane"": ""5"", ""speed"": 47.75486487974516, ""distance_to_intersection"": 473.0985337113446, ""direction"": ""south"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V5487': None, 'V3652': None, 'V7793': None, 'V2801': None, 'V2177': None}","{'V5487': 0, 'V3652': 0, 'V7793': 0, 'V2801': 0, 'V2177': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6843"", ""lane"": ""6"", ""speed"": 49.736756965793674, ""distance_to_intersection"": 363.734268668951, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V6321"", ""lane"": ""5"", ""speed"": 63.74256880033138, ""distance_to_intersection"": 113.02152308835298, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V2414"", ""lane"": ""7"", ""speed"": 43.27465548575621, ""distance_to_intersection"": 153.64051006422613, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V9921"", ""lane"": ""7"", ""speed"": 52.53250006614597, ""distance_to_intersection"": 324.2892657674163, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V3335"", ""lane"": ""7"", ""speed"": 48.788678233376196, ""distance_to_intersection"": 146.13892747245995, ""direction"": ""west"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V6843': None, 'V6321': None, 'V2414': None, 'V9921': None, 'V3335': None}","{'V6843': 0, 'V6321': 0, 'V2414': 0, 'V9921': 0, 'V3335': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4262"", ""lane"": ""3"", ""speed"": 38.51676494873796, ""distance_to_intersection"": 475.72368175042016, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V4350"", ""lane"": ""7"", ""speed"": 46.593146950117365, ""distance_to_intersection"": 115.67056096120035, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V3889"", ""lane"": ""3"", ""speed"": 38.04815759148368, ""distance_to_intersection"": 55.92290752183656, ""direction"": ""east"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V4262': None, 'V4350': None, 'V3889': None}","{'V4262': 0, 'V4350': 0, 'V3889': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6399"", ""lane"": ""2"", ""speed"": 69.04362099396064, ""distance_to_intersection"": 81.91911617723865, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V4582"", ""lane"": ""6"", ""speed"": 36.98167044103364, ""distance_to_intersection"": 231.5796443440745, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V7618"", ""lane"": ""2"", ""speed"": 42.095713923146086, ""distance_to_intersection"": 484.90849434669155, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V8216"", ""lane"": ""6"", ""speed"": 55.000634398940846, ""distance_to_intersection"": 81.85800940033644, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V4699"", ""lane"": ""4"", ""speed"": 55.98243535265187, ""distance_to_intersection"": 455.9057195822268, ""direction"": ""east"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V6399': None, 'V4582': None, 'V7618': None, 'V8216': None, 'V4699': None}","{'V6399': 0, 'V4582': 0, 'V7618': 0, 'V8216': 0, 'V4699': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7082"", ""lane"": ""3"", ""speed"": 63.313876362944654, ""distance_to_intersection"": 127.48219333595141, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V4417"", ""lane"": ""6"", ""speed"": 29.426481408458713, ""distance_to_intersection"": 365.9240198928548, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V8043"", ""lane"": ""3"", ""speed"": 45.970823033918855, ""distance_to_intersection"": 335.88111236028084, ""direction"": ""east"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V7082': None, 'V4417': None, 'V8043': None}","{'V7082': 0, 'V4417': 0, 'V8043': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3109"", ""lane"": ""5"", ""speed"": 25.165081239525655, ""distance_to_intersection"": 347.0968777546129, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V4988"", ""lane"": ""5"", ""speed"": 48.35405878796243, ""distance_to_intersection"": 92.55679495607698, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V3835"", ""lane"": ""3"", ""speed"": 62.727654821725565, ""distance_to_intersection"": 373.3301204812084, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V6691"", ""lane"": ""8"", ""speed"": 68.10663281020496, ""distance_to_intersection"": 368.87420317070564, ""direction"": ""west"", ""destination"": ""A""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V3835', 'vehicle2_id': 'V6691'}]",['Potential conflict: Vehicle V3835 must yield to Vehicle V6691'],"{'V6691': 1, 'V3835': 2, 'V3109': None, 'V4988': None}","{'V6691': 0, 'V3835': 1, 'V3109': 0, 'V4988': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3162"", ""lane"": ""6"", ""speed"": 71.49195042194687, ""distance_to_intersection"": 447.6330997184075, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V8768"", ""lane"": ""4"", ""speed"": 31.153501680359785, ""distance_to_intersection"": 470.64299814226183, ""direction"": ""east"", ""destination"": ""G""}, {""vehicle_id"": ""V4558"", ""lane"": ""1"", ""speed"": 53.971530680893544, ""distance_to_intersection"": 152.89605429227527, ""direction"": ""north"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V3162': None, 'V8768': None, 'V4558': None}","{'V3162': 0, 'V8768': 0, 'V4558': 0}"
